,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_xgb__learning_rate,param_xgb__max_depth,param_xgb__n_estimators,param_xgb__reg_alpha,param_xgb__reg_lambda,param_xgb__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
185,10.10509433746338,0.1469206452721028,0.00800013542175293,0.0006318067514622673,mle,0.1,6,500,0,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8215538416703096,0.7854061283540457,0.8177478529141999,0.8321546944050697,0.8230193429760915,0.8159763720639432,0.016000797887218362,185
187,10.489354515075684,0.10237227145148664,0.00860137939453125,0.0010175703324887145,mle,0.1,6,500,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8216136888777869,0.7827468307000561,0.8190011881931126,0.8305834653547904,0.8194725212730948,0.8146835388797682,0.016506752668037736,186
186,10.862343645095825,0.0661836761359528,0.008007383346557618,0.0005491798905108537,mle,0.1,6,500,0,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.815886571327463,0.7798221236911677,0.8182742016176103,0.8279412990911363,0.8210657180616281,0.812597982757801,0.016878454373320164,187
190,12.0387601852417,0.48727981034870416,0.0084014892578125,0.0007991346725882786,mle,0.1,6,500,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.8188320947563439,0.77902589562647,0.8150900525306429,0.8290591386642207,0.8205067932866343,0.8125027949728624,0.01735300108166426,188
189,10.954628086090088,0.0726773684405966,0.008903217315673829,0.0011118998360530182,mle,0.1,6,500,0.5,0,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.9}",0.8148795770103457,0.7766268032223818,0.8137403068456599,0.8291008296506295,0.8219746237704961,0.8112644280999024,0.018175862268103783,189
184,10.26885986328125,0.0744434989974752,0.009199905395507812,0.0009797541701889018,mle,0.1,6,500,0,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8177028039717729,0.7802176356710173,0.8120387934628533,0.8311749562244644,0.8150298528513,0.8112328084362815,0.01683186383290259,190
191,12.188611888885498,0.15086174086555607,0.009401035308837891,0.001019384383885829,mle,0.1,6,500,0.5,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8164694310872417,0.7758513915776765,0.8121430209288751,0.8297209830734597,0.8217996333035589,0.8111968919941625,0.01862020033044242,191
188,11.207036781311036,0.019611328726843808,0.00879964828491211,0.0007481627983795589,mle,0.1,6,500,0.5,0,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 0.1, 'xgb__max_depth': 6, 'xgb__n_estimators': 500, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0, 'xgb__subsample': 0.8}",0.8134146214534024,0.7775271133870397,0.8107098932710748,0.8223260443592095,0.8203788151839491,0.8088712975309351,0.01624766617674018,192
198,0.7711471080780029,0.018891495032921105,0.007401084899902344,0.0013590886478733652,mle,1.0,4,50,0.5,0.5,0.8,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0.5, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.8}",0.813089364891026,0.7744306709132164,0.8028824105728342,0.8081615317268407,0.8114516895721352,0.8020031335352105,0.014220544492349106,193
195,0.8404605388641357,0.03036107674518935,0.009400701522827149,0.002418513772799715,mle,1.0,4,50,0,0.5,0.9,"{'pca__n_components': 'mle', 'xgb__learning_rate': 1.0, 'xgb__max_depth': 4, 'xgb__n_estimators': 50, 'xgb__reg_alpha': 0, 'xgb__reg_lambda': 0.5, 'xgb__subsample': 0.9}",0.8016689564728657,0.7780579320968379,0.7954379638122239,0.8180787751188193,0.8089913758429578,0.800447000668741,0.013503627920753485,194
