,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__C,param_logistic__max_iter,param_logistic__penalty,param_logistic__solver,param_logistic__tol,param_pca__n_components,param_logistic__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1657,0.044043350219726565,0.010377875378934188,0.004413318634033203,0.0007545945452287424,0.0001,10000,elasticnet,saga,0.01,0.9,0.05,"{'logistic__C': 0.0001, 'logistic__l1_ratio': 0.05, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 0.9}",0.8268125897708112,0.8235574220945482,0.17103727174184943,0.8388018010506127,0.8452196260949962,0.7010857421505635,0.2651408014483298,3274
1529,0.027891254425048827,0.001017244998833916,0.002401876449584961,0.0004907195901967694,1000,1000,l2,sag,0.1,1,,"{'logistic__C': 1000, 'logistic__max_iter': 1000, 'logistic__penalty': 'l2', 'logistic__solver': 'sag', 'logistic__tol': 0.1, 'pca__n_components': 1}",0.5057089031828306,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5191045446033724,0.011072523077827523,3277
4274,0.022876167297363283,0.0017174779557824296,0.0027150630950927733,0.0008740928388799793,1000,10000,elasticnet,saga,0.1,1,0.8,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4279,0.03018641471862793,0.004359161320960036,0.002614545822143555,0.0009836647882528816,1000,100,elasticnet,saga,0.001,1,0.9,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.9, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4399,0.03110342025756836,0.003155959627433931,0.0027760982513427733,0.0003845892372972643,1000,10000,elasticnet,saga,0.001,1,1,"{'logistic__C': 1000, 'logistic__l1_ratio': 1, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4359,0.02893204689025879,0.00404130349083716,0.0022122859954833984,0.0005103216551577001,1000,10000,elasticnet,saga,0.01,1,0.95,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.95, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4269,0.027989721298217772,0.004214807652674052,0.0028075695037841795,0.0009317227418638895,1000,10000,elasticnet,saga,0.01,1,0.8,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4239,0.026879072189331055,0.001783183305984371,0.0029083251953125,0.000663934103811702,1000,100,elasticnet,saga,0.01,1,0.8,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4289,0.027530574798583986,0.0028069487608879565,0.0030386924743652345,0.0002850213851420883,1000,100,elasticnet,saga,0.1,1,0.9,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.9, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
3614,0.023738956451416014,0.0026538818162165838,0.0027034759521484377,0.0008749015845317655,100,100,elasticnet,saga,0.1,1,0,"{'logistic__C': 100, 'logistic__l1_ratio': 0, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4374,0.029718971252441405,0.0019780820593913507,0.0025153160095214844,0.0007058085081963091,1000,100,elasticnet,saga,0.01,1,1,"{'logistic__C': 1000, 'logistic__l1_ratio': 1, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4294,0.02789154052734375,0.0051509920962566165,0.002458953857421875,0.0009103431251600006,1000,1000,elasticnet,saga,0.001,1,0.9,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.9, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4284,0.02407073974609375,0.0016881494472505254,0.002921915054321289,0.0004999733356837741,1000,100,elasticnet,saga,0.01,1,0.9,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.9, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4404,0.03384833335876465,0.003757239852249961,0.0027181148529052735,0.0009748886732863337,1000,10000,elasticnet,saga,0.01,1,1,"{'logistic__C': 1000, 'logistic__l1_ratio': 1, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.01, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4394,0.02409396171569824,0.0018598445573264012,0.002795124053955078,0.0007539254137788985,1000,1000,elasticnet,saga,0.1,1,1,"{'logistic__C': 1000, 'logistic__l1_ratio': 1, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4369,0.03249979019165039,0.0043657816829878295,0.002403879165649414,0.0005871631231208422,1000,100,elasticnet,saga,0.001,1,1,"{'logistic__C': 1000, 'logistic__l1_ratio': 1, 'logistic__max_iter': 100, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4264,0.0293886661529541,0.0022142042317086306,0.002606105804443359,0.0004934852555255187,1000,10000,elasticnet,saga,0.001,1,0.8,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 10000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4259,0.025482368469238282,0.0020454605037815757,0.002197933197021484,0.0004019995564569349,1000,1000,elasticnet,saga,0.1,1,0.8,"{'logistic__C': 1000, 'logistic__l1_ratio': 0.8, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.1, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
4384,0.029494524002075195,0.002533999248829833,0.0016451835632324218,0.0005313273787655151,1000,1000,elasticnet,saga,0.001,1,1,"{'logistic__C': 1000, 'logistic__l1_ratio': 1, 'logistic__max_iter': 1000, 'logistic__penalty': 'elasticnet', 'logistic__solver': 'saga', 'logistic__tol': 0.001, 'pca__n_components': 1}",0.4942910968171693,0.5106085680384688,0.5279590177603601,0.535572834153256,0.5156733998819467,0.5168209833302402,0.014305205752279553,3278
